streetname,from_st,to_st
21ST AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,21ST AVE,Intersection
JUDAH ST,21ST AVE,Intersection
KIRKHAM ST,21ST AVE,Intersection
LAWTON ST,21ST AVE,Intersection
MORAGA ST,21ST AVE,Intersection
NORIEGA ST,21ST AVE,Intersection
ORTEGA ST,21ST AVE,Intersection
PACHECO ST,21ST AVE,Intersection
QUINTARA ST,21ST AVE,Intersection
RIVERA ST,21ST AVE,Intersection
SANTIAGO ST,21ST AVE,Intersection
KIRKHAM ST,19TH AVE,20TH AVE
KIRKHAM ST,20TH AVE,Intersection
20TH AVE,LINCOLN WAY,IRVING ST
20TH AVE,IRVING ST,JUDAH ST
20TH AVE,JUDAH ST,KIRKHAM ST
20TH AVE,KIRKHAM ST,LAWTON ST
20TH AVE,LAWTON ST,MORAGA ST
20TH AVE,MORAGA ST,NORIEGA ST
20TH AVE,NORIEGA ST,ORTEGA ST
20TH AVE,ORTEGA ST,PACHECO ST
20TH AVE,PACHECO ST,QUINTARA ST
20TH AVE,QUINTARA ST,RIVERA ST
20TH AVE,RIVERA ST,SANTIAGO ST
20TH AVE,SANTIAGO ST,TARAVAL ST
21ST AVE,LINCOLN WAY,IRVING ST
21ST AVE,IRVING ST,JUDAH ST
21ST AVE,JUDAH ST,KIRKHAM ST
21ST AVE,KIRKHAM ST,LAWTON ST
21ST AVE,LAWTON ST,MORAGA ST
21ST AVE,MORAGA ST,NORIEGA ST
21ST AVE,NORIEGA ST,ORTEGA ST
21ST AVE,ORTEGA ST,PACHECO ST
21ST AVE,PACHECO ST,QUINTARA ST
21ST AVE,QUINTARA ST,RIVERA ST
21ST AVE,RIVERA ST,SANTIAGO ST
21ST AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,20TH AVE,Intersection
IRVING ST,21ST AVE,Intersection
JUDAH ST,20TH AVE,Intersection
JUDAH ST,21ST AVE,Intersection
KIRKHAM ST,20TH AVE,Intersection
KIRKHAM ST,21ST AVE,Intersection
LAWTON ST,20TH AVE,Intersection
LAWTON ST,21ST AVE,Intersection
MORAGA ST,20TH AVE,Intersection
MORAGA ST,21ST AVE,Intersection
NORIEGA ST,20TH AVE,Intersection
NORIEGA ST,21ST AVE,Intersection
ORTEGA ST,20TH AVE,Intersection
ORTEGA ST,21ST AVE,Intersection
PACHECO ST,20TH AVE,Intersection
PACHECO ST,21ST AVE,Intersection
QUINTARA ST,20TH AVE,Intersection
QUINTARA ST,21ST AVE,Intersection
RIVERA ST,20TH AVE,Intersection
RIVERA ST,21ST AVE,Intersection
SANTIAGO ST,20TH AVE,Intersection
SANTIAGO ST,21ST AVE,Intersection
19TH AVE,KIRKHAM ST,LAWTON ST
KIRKHAM ST,19TH AVE,20TH AVE
22ND AVE,LINCOLN WAY,IRVING ST
22ND AVE,IRVING ST,JUDAH ST
22ND AVE,JUDAH ST,KIRKHAM ST
22ND AVE,KIRKHAM ST,LAWTON ST
22ND AVE,LAWTON ST,MORAGA ST
22ND AVE,MORAGA ST,NORIEGA ST
22ND AVE,NORIEGA ST,ORTEGA ST
22ND AVE,ORTEGA ST,PACHECO ST
22ND AVE,PACHECO ST,QUINTARA ST
22ND AVE,QUINTARA ST,RIVERA ST
22ND AVE,RIVERA ST,SANTIAGO ST
22ND AVE,SANTIAGO ST,TARAVAL ST
23RD AVE,LINCOLN WAY,IRVING ST
23RD AVE,IRVING ST,JUDAH ST
23RD AVE,JUDAH ST,KIRKHAM ST
23RD AVE,KIRKHAM ST,LAWTON ST
23RD AVE,LAWTON ST,MORAGA ST
23RD AVE,MORAGA ST,NORIEGA ST
23RD AVE,NORIEGA ST,ORTEGA ST
23RD AVE,ORTEGA ST,PACHECO ST
23RD AVE,PACHECO ST,QUINTARA ST
24TH AVE,LINCOLN WAY,IRVING ST
24TH AVE,IRVING ST,JUDAH ST
24TH AVE,JUDAH ST,KIRKHAM ST
24TH AVE,KIRKHAM ST,LAWTON ST
24TH AVE,LAWTON ST,MORAGA ST
24TH AVE,MORAGA ST,NORIEGA ST
24TH AVE,NORIEGA ST,ORTEGA ST
24TH AVE,ORTEGA ST,PACHECO ST
24TH AVE,PACHECO ST,QUINTARA ST
24TH AVE,QUINTARA ST,RIVERA ST
24TH AVE,RIVERA ST,SANTIAGO ST
24TH AVE,SANTIAGO ST,TARAVAL ST
25TH AVE,LINCOLN WAY,IRVING ST
25TH AVE,IRVING ST,JUDAH ST
25TH AVE,JUDAH ST,KIRKHAM ST
25TH AVE,KIRKHAM ST,LAWTON ST
25TH AVE,LAWTON ST,MORAGA ST
25TH AVE,MORAGA ST,NORIEGA ST
25TH AVE,NORIEGA ST,ORTEGA ST
26TH AVE,LINCOLN WAY,IRVING ST
26TH AVE,IRVING ST,JUDAH ST
26TH AVE,JUDAH ST,KIRKHAM ST
26TH AVE,KIRKHAM ST,LAWTON ST
26TH AVE,LAWTON ST,MORAGA ST
26TH AVE,MORAGA ST,NORIEGA ST
26TH AVE,NORIEGA ST,ORTEGA ST
27TH AVE,IRVING ST,JUDAH ST
27TH AVE,JUDAH ST,KIRKHAM ST
27TH AVE,KIRKHAM ST,LAWTON ST
27TH AVE,LAWTON ST,MORAGA ST
27TH AVE,MORAGA ST,NORIEGA ST
27TH AVE,NORIEGA ST,ORTEGA ST
28TH AVE,IRVING ST,JUDAH ST
28TH AVE,JUDAH ST,KIRKHAM ST
28TH AVE,KIRKHAM ST,LAWTON ST
28TH AVE,LAWTON ST,MORAGA ST
28TH AVE,MORAGA ST,NORIEGA ST
28TH AVE,NORIEGA ST,ORTEGA ST
28TH AVE,ORTEGA ST,PACHECO ST
28TH AVE,PACHECO ST,QUINTARA ST
28TH AVE,QUINTARA ST,RIVERA ST
28TH AVE,RIVERA ST,SANTIAGO ST
28TH AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,22ND AVE,Intersection
IRVING ST,23RD AVE,Intersection
IRVING ST,24TH AVE,Intersection
IRVING ST,25TH AVE,Intersection
IRVING ST,26TH AVE,Intersection
IRVING ST,27TH AVE,Intersection
IRVING ST,28TH AVE,Intersection
JUDAH ST,22ND AVE,Intersection
JUDAH ST,23RD AVE,Intersection
